FIPS,pre_Grocery Stores,pre_Gasoline Stations,pre_Building Dealers,storm,state,landfall_date,order,forecast_wind,forecast_tp,year,fraction_pop_under_5,fraction_pop_over_65,dis_5to64_rate,lmt_english,no_vehicle_rate,median_income,white_fraction,sig_Grocery Stores,sig_Gasoline Stations,sig_Building Material and Supplies Dealers,Grocery Stores density,Gasoline Stations density,Building Dealers density,storm_beta,storm_claudette,storm_delta,storm_elsa,storm_helene,storm_henri,storm_ida,storm_laura,storm_milton,storm_zeta,state_LA,state_NC,state_NJ,state_NY,state_SC,state_TX,order_x_wind
36037,1.0048486436902109,1.0135321552913354,1.1167485580004273,ida,NY,2021-09-02,2,13.5711459510196,0.0187500002793967,2021,5.2,18.8,0.1183671622202611,0.0070316013245574,0.0914516986222967,0.063734,0.8727820785092827,0,0,1,0.0792682926829268,0.0934959349593495,0.040650406504065,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,27.1422919020392
36039,0.9993802293151532,0.9667697586744024,1.0970792434761791,ida,NY,2021-09-02,2,19.3134362942415,444.1562453210354,2021,4.4,22.4,0.1036354105639665,0.0126640307145722,0.0861268695203713,0.06281,0.8239761323569298,0,0,0,0.0432766615146831,0.0602782071097372,0.0247295208655332,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,38.626872588483
36041,0.7392550143266478,0.7185628742514969,0.7070938215102975,ida,NY,2021-09-02,2,11.5096576077872,0.6520270366454497,2021,3.3,31.3,0.1803030303030303,0.0,0.0199039121482498,0.06284100000000001,0.933816330526728,0,0,0,0.0052417006406523,0.0011648223645894,0.0029120559114735,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,23.0193152155744
36043,1.0561229683417597,1.0049801285511015,0.9421025901472828,ida,NY,2021-09-02,2,12.9275908141308,0.6205357094295323,2021,4.9,20.7,0.1253005610472882,0.0073237592569862,0.099627674808723,0.060561,0.9087779976388034,0,0,0,0.0276399716513111,0.0170092133238837,0.0155917788802267,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,25.8551816282616
36045,0.9968488817222833,0.9597329639462848,1.022099447513812,ida,NY,2021-09-02,2,12.4220052973556,0.0156250004656612,2021,7.7,13.7,0.1156932735880104,0.0103258123338532,0.0894171408484742,0.058271,0.7946727666829448,0,0,0,0.0607255520504731,0.0591482649842271,0.029179810725552,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,24.8440105947112
36047,1.0282496588109675,1.0168807328415046,1.041329908549412,ida,NY,2021-09-02,2,18.641208993067,422.65625,2021,7.1,14.1,0.0628689499248321,0.1404475448377233,0.552999265055202,0.067753,0.3539476636962304,1,0,1,28.565217391304348,4.913043478260869,5.768115942028985,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,37.282417986134
36049,0.9546303986710964,0.9035346097201769,0.9952181709503888,ida,NY,2021-09-02,2,12.8355730038136,0.0185185186564922,2021,6.5,19.0,0.1068059640937214,0.0001913326317803,0.0466851621544054,0.060049,0.938304115566925,0,0,0,0.0180533751962323,0.0109890109890109,0.0086342229199372,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,25.6711460076272
36051,1.1168445902187312,1.0699793125397838,1.2081339712918662,ida,NY,2021-09-02,2,14.5421582854593,1.596590880304575,2021,4.3,17.9,0.0926860702395016,0.0083291687489588,0.0591787439613526,0.064467,0.8831872432642236,1,1,1,0.0491283676703645,0.0649762282091917,0.0301109350237717,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,29.0843165709186
36053,1.0617683686176838,1.1135638117231543,1.0979946656129609,ida,NY,2021-09-02,2,15.1660559372187,1.111607162747532,2021,4.7,18.6,0.0977569018404908,0.0053270914887606,0.0596472819726381,0.063312,0.8963332157139496,1,1,1,0.0611620795107033,0.0412844036697247,0.0290519877675841,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,30.3321118744374
36055,1.034952479718803,1.045560052638963,1.0657187892044906,ida,NY,2021-09-02,2,13.6889425579917,0.0133928577415645,2021,5.4,17.4,0.1148045906719552,0.0340754275456395,0.1103845105864627,0.06631699999999999,0.6664792486072029,1,1,1,0.4847560975609756,0.361280487804878,0.2027439024390244,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,27.3778851159834
36057,1.0315665834679195,0.9816569966485276,0.9858397562287148,ida,NY,2021-09-02,2,14.7073509607605,65.2291660150513,2021,6.2,18.5,0.1271099606320444,0.0270799174908763,0.1318559263764743,0.053533000000000004,0.7719655979972543,0,0,0,0.0769230769230769,0.0794044665012407,0.0347394540942928,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,29.414701921521
36059,1.054812113117407,0.995509594444744,1.0315117189853589,ida,NY,2021-09-02,2,19.5851258846516,504.7750045396387,2021,5.4,17.7,0.0520103431684722,0.048545337495811,0.064419193255375,0.126576,0.5584385437757116,1,0,1,2.2288732394366195,2.3028169014084505,0.9683098591549296,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,39.1702517693032
36061,0.9904567107850252,1.0020638107987507,0.9908971199099608,ida,NY,2021-09-02,2,20.539641215742,0.0,2021,4.6,16.8,0.066633143829808,0.0849464229620718,0.773451440473506,0.093956,0.4682269628290023,0,0,0,52.86363636363637,2.409090909090909,15.545454545454543,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,41.079282431484
36063,1.0269194837548874,1.0027850169665382,1.006563123450115,ida,NY,2021-09-02,2,12.6799732102022,0.0,2021,5.2,19.2,0.1156109445277361,0.0102854604020881,0.1010552038209485,0.060834000000000006,0.8167314004119135,1,0,0,0.2068965517241379,0.1704980842911877,0.082375478927203,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,25.3599464204044
36065,1.0339165528897334,1.0194236040975329,1.079217567263734,ida,NY,2021-09-02,2,14.2244236112742,0.0312500009313225,2021,5.5,18.7,0.1018512009373169,0.0241784605903198,0.1038672330684744,0.061732999999999996,0.7796833602584814,0,0,1,0.1163366336633663,0.0701320132013201,0.047029702970297,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,28.4488472225484
36067,1.0824846067459242,1.0477248376595594,1.0554831250614976,ida,NY,2021-09-02,2,14.8434197096996,1.24609375,2021,5.6,17.1,0.1056792429507341,0.0231832437629036,0.1218367979490735,0.066012,0.7288107849474099,1,1,1,0.3406169665809768,0.2056555269922879,0.1568123393316195,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,29.6868394193992
36069,1.0461747794408112,1.0242987905745689,1.0325393816138704,ida,NY,2021-09-02,2,14.656417625529,1.9312499603256583,2021,4.8,20.1,0.0945341466331778,0.011472275334608,0.066792704148495,0.070694,0.8660744455707908,0,0,0,0.0729813664596273,0.0822981366459627,0.0527950310559006,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,29.312835251058
36071,1.063018661274696,1.0241361673475464,1.0151392688385974,ida,NY,2021-09-02,2,20.5721349687984,1087.8359375,2021,6.6,13.9,0.0847108375182245,0.037289283564118,0.0890728476821192,0.08564,0.5777279409932471,1,1,0,0.20935960591133,0.2266009852216748,0.1120689655172413,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,41.1442699375968
36073,1.0673773404400713,1.0420779220779222,0.9899823217442546,ida,NY,2021-09-02,2,13.0393291245576,0.0,2021,4.9,17.9,0.1295971978984238,0.0164167129543911,0.0800469048941554,0.054882,0.8436903552041246,1,1,0,0.0716112531969309,0.0434782608695652,0.0204603580562659,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,26.0786582491152
36075,1.0247369190295237,1.0345261040811196,1.107714016933208,ida,NY,2021-09-02,2,13.8023819412753,0.0,2021,5.4,16.5,0.1178875081752779,0.0016257032235983,0.0802370104173351,0.061982999999999996,0.8994681982556902,0,0,1,0.0546792849631966,0.0662460567823343,0.0252365930599369,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,27.6047638825506
36077,1.274947097630804,1.0757966552957816,1.084732293632661,ida,NY,2021-09-02,2,16.2027855614386,97.21710518747568,2021,4.0,21.1,0.0963237650505882,0.0109141126158232,0.0746614397719173,0.060523,0.8798099924817169,1,0,1,0.0489510489510489,0.0279720279720279,0.0149850149850149,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,32.4055711228772
36079,1.0435878878434852,1.0030793948319718,1.143913307676727,ida,NY,2021-09-02,2,20.5627149769793,1096.7375109493732,2021,4.5,17.7,0.0652765543445392,0.0221638625147903,0.0472713630198262,0.11161700000000001,0.7365974525945038,1,0,1,0.1391304347826087,0.2434782608695652,0.117391304347826,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,41.1254299539586
36081,0.970825174085472,0.9875140521387712,1.048989640245223,ida,NY,2021-09-02,2,17.7744664835037,540.04165879637,2021,6.0,16.0,0.0599586440226211,0.1779785700485963,0.3669198036330851,0.075886,0.2283792233016166,0,0,1,13.97222222222222,3.5277777777777777,2.9537037037037037,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,35.5489329670074
36083,1.0429347231840218,1.020823240125415,0.9743172951885568,ida,NY,2021-09-02,2,17.4445931326448,278.91345821507275,2021,5.1,17.2,0.1117885034544328,0.0115162569150299,0.0996970199424187,0.076731,0.7732886489170235,1,0,0,0.1288343558282208,0.107361963190184,0.0460122699386503,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,34.8891862652896
